100000.000	6.327	-0.005
97500.000	5.263	0.053
95000.000	5.262	0.049
92500.000	5.264	0.047
90000.000	5.264	0.044
87500.000	5.265	0.041
85000.000	5.265	0.039
82500.000	5.267	0.035
80000.000	5.267	0.032
77500.000	5.268	0.028
75000.000	5.268	0.025
72500.000	5.272	0.021
70000.000	5.270	0.019
67500.000	5.271	0.015
65000.000	5.271	0.015
62500.000	5.274	0.010
60000.000	5.274	0.005
57500.000	5.275	0.001
55000.000	5.277	-0.003
52500.000	5.278	-0.007
50000.000	5.280	-0.011
47500.000	5.281	-0.014
45000.000	5.283	-0.018
42500.000	5.285	-0.022
40000.000	5.288	-0.027
37500.000	5.291	-0.032
35000.000	5.293	-0.035
32500.000	5.295	-0.041
30000.000	5.303	-0.025
27500.000	5.306	-0.031
25000.000	5.310	-0.039
22500.000	5.314	-0.046
20000.000	5.320	-0.055
17500.000	5.326	-0.064
15000.000	5.334	-0.072
12500.000	5.344	-0.084
10000.000	5.357	-0.099
9750.000	5.359	-0.101
9500.000	5.361	-0.102
9250.000	5.363	-0.104
9000.000	5.365	-0.106
8750.000	5.367	-0.108
8500.000	5.369	-0.110
8250.000	5.371	-0.112
8000.000	5.372	-0.114
7750.000	5.374	-0.123
7500.000	5.373	-0.123
7250.000	5.379	-0.127
7000.000	5.382	-0.129
6750.000	5.384	-0.131
6500.000	5.387	-0.133
6250.000	5.390	-0.136
6000.000	5.393	-0.138
5750.000	5.397	-0.141
5500.000	5.400	-0.144
5250.000	5.405	-0.147
5000.000	5.409	-0.150
4750.000	5.413	-0.153
4500.000	5.418	-0.157
4250.000	5.424	-0.161
4000.000	5.430	-0.166
3750.000	5.430	-0.166
3500.000	5.430	-0.166
3250.000	5.453	-0.181
3000.000	5.461	-0.187
2750.000	5.472	-0.193
2500.000	5.484	-0.201
2250.000	5.498	-0.209
2000.000	5.514	-0.216
1750.000	5.534	-0.228
1500.000	5.558	-0.240
1250.000	5.589	-0.253
1000.000	5.632	-0.269
975.000	5.637	-0.268
950.000	5.643	-0.270
925.000	5.648	-0.272
900.000	5.653	-0.274
875.000	5.659	-0.274
850.000	5.665	-0.276
825.000	5.671	-0.277
800.000	5.678	-0.280
775.000	5.685	-0.281
750.000	5.692	-0.282
725.000	5.699	-0.283
700.000	5.707	-0.284
675.000	5.715	-0.285
650.000	5.723	-0.286
625.000	5.732	-0.287
600.000	5.741	-0.288
575.000	5.751	-0.289
550.000	5.762	-0.289
525.000	5.772	-0.290
500.000	5.783	-0.290
475.000	5.796	-0.286
450.000	5.808	-0.286
425.000	5.821	-0.285
400.000	5.834	-0.285
375.000	5.850	-0.283
350.000	5.865	-0.281
325.000	5.882	-0.278
300.000	5.899	-0.274
275.000	5.917	-0.269
250.000	5.936	-0.263
225.000	5.958	-0.248
200.000	5.981	-0.240
175.000	6.004	-0.229
150.000	6.028	-0.215
125.000	6.053	-0.200
100.000	6.081	-0.181
97.500	6.084	-0.178
95.000	6.087	-0.175
92.500	6.089	-0.173
90.000	6.092	-0.171
87.500	6.096	-0.169
85.000	6.098	-0.166
82.500	6.101	-0.164
80.000	6.105	-0.165
77.500	6.107	-0.158
75.000	6.110	-0.157
72.500	6.113	-0.153
70.000	6.115	-0.151
67.500	6.113	-0.146
65.000	6.120	-0.146
62.500	6.122	-0.142
60.000	6.126	-0.144
57.500	6.127	-0.141
55.000	6.131	-0.137
52.500	6.134	-0.134
50.000	6.137	-0.130
47.500	6.141	-0.126
45.000	6.143	-0.123
42.500	6.148	-0.116
40.000	6.152	-0.115
37.500	6.153	-0.109
35.000	6.157	-0.107
32.500	6.161	-0.103
30.000	6.164	-0.102
27.500	6.168	-0.097
25.000	6.171	-0.092
22.500	6.174	-0.088
20.000	6.178	-0.083
17.500	6.183	-0.079
15.000	6.186	-0.078
12.500	6.192	-0.075
10.000	6.199	-0.071
9.750	6.201	-0.071
9.500	6.201	-0.071
9.250	6.202	-0.071
9.000	6.203	-0.071
8.750	6.204	-0.071
8.500	6.205	-0.072
8.250	6.206	-0.072
8.000	6.207	-0.072
7.750	6.208	-0.072
7.500	6.210	-0.069
7.250	6.211	-0.069
7.000	6.212	-0.069
6.750	6.214	-0.069
6.500	6.215	-0.069
6.250	6.216	-0.069
6.000	6.218	-0.070
5.750	6.220	-0.069
5.500	6.221	-0.070
5.250	6.224	-0.070
5.000	6.226	-0.070
4.750	6.229	-0.070
4.500	6.233	-0.071
4.250	6.235	-0.070
4.000	6.238	-0.071
3.750	6.242	-0.070
3.500	6.247	-0.071
3.250	6.251	-0.071
3.000	6.256	-0.071
2.750	6.261	-0.071
2.500	6.267	-0.071
2.250	6.273	-0.070
2.000	6.279	-0.069
1.750	6.287	-0.064
1.500	6.293	-0.060
1.250	6.300	-0.054
1.000	6.307	-0.047
0.975	6.309	-0.046
0.955	6.309	-0.046
0.935	6.312	-0.042
0.915	6.312	-0.042
0.885	6.313	-0.041
0.855	6.314	-0.040
0.835	6.315	-0.039
0.815	6.316	-0.039
0.795	6.316	-0.038
0.775	6.317	-0.038
0.755	6.317	-0.037
0.735	6.318	-0.036
0.715	6.319	-0.036
0.695	6.320	-0.035
0.675	6.320	-0.034
0.655	6.321	-0.034
0.635	6.321	-0.033
0.615	6.321	-0.033
0.595	6.323	-0.032
0.575	6.323	-0.031
0.545	6.324	-0.030
0.515	6.325	-0.029
0.495	6.326	-0.028
0.475	6.326	-0.028
0.455	6.329	-0.024
0.425	6.329	-0.023
0.395	6.330	-0.022
0.365	6.331	-0.020
0.335	6.332	-0.019
0.315	6.333	-0.018
