File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  2.4662uA
Temperature:  -0.6+-0.0C
Time.......:  13:50:30 - 13:54:51
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       1.2517e+01       -2.5896e-01        1.000           0.0
   2      1.3122e+03       1.2490e+01       -2.3048e-01        1.000           1.7
   3      1.6483e+03       1.2465e+01       -2.0633e-01        1.000           2.7
   4      2.0706e+03       1.2444e+01       -1.8257e-01        1.000           3.7
   5      2.6010e+03       1.2424e+01       -1.6492e-01        1.000           4.6
   6      3.2674e+03       1.2406e+01       -1.4880e-01        1.000           5.6
   7      4.1044e+03       1.2388e+01       -1.3189e-01        1.000           6.6
   8      5.1559e+03       1.2372e+01       -1.1740e-01        1.000           7.5
   9      6.4768e+03       1.2358e+01       -1.0454e-01        1.000           8.5
  10      8.1360e+03       1.2347e+01       -7.6287e-02        1.000           9.5
  11      1.0220e+04       1.2335e+01       -6.0446e-02        1.000          10.5
  12      1.2839e+04       1.2324e+01       -4.2765e-02        1.000          11.4
  13      1.6128e+04       1.2313e+01       -2.5983e-02        1.000          12.4
  14      2.0259e+04       1.2303e+01       -7.4388e-03        1.000          13.4
  15      2.5450e+04       1.2293e+01        1.6755e-02        1.000          14.3
  16      3.1969e+04       1.2275e+01       -2.7158e-03        1.000          15.3
  17      4.0159e+04       1.2265e+01        2.3834e-02        1.000          16.3
  18      5.0448e+04       1.2256e+01        5.2296e-02        1.000          17.2
  19      6.3371e+04       1.2248e+01        8.9139e-02        1.000          18.2
  20      7.9606e+04       1.2236e+01        1.3034e-01        1.000          19.2
  21      1.0000e+05       1.2226e+01        1.8467e-01        1.000          20.1
  22      7.9606e+04       1.2236e+01        1.3104e-01        1.000          21.1
  23      6.3371e+04       1.2248e+01        8.9223e-02        1.000          22.1
  24      5.0448e+04       1.2256e+01        5.1791e-02        1.000          23.1
  25      4.0159e+04       1.2266e+01        2.3870e-02        1.000          24.0
  26      3.1969e+04       1.2276e+01       -2.7371e-03        1.000          25.0
  27      2.5450e+04       1.2294e+01        1.6856e-02        1.000          26.0
  28      2.0259e+04       1.2303e+01       -7.2748e-03        1.000          26.9
  29      1.6128e+04       1.2313e+01       -2.6170e-02        1.000          27.9
  30      1.2839e+04       1.2324e+01       -4.2482e-02        1.000          28.9
  31      1.0220e+04       1.2336e+01       -6.0609e-02        1.000          29.8
  32      8.1360e+03       1.2348e+01       -7.6528e-02        1.000          30.8
  33      6.4768e+03       1.2358e+01       -1.0440e-01        1.000          31.8
  34      5.1559e+03       1.2373e+01       -1.1758e-01        1.000          32.8
  35      4.1044e+03       1.2388e+01       -1.3181e-01        1.000          33.7
  36      3.2674e+03       1.2406e+01       -1.4889e-01        1.000          34.7
  37      2.6010e+03       1.2424e+01       -1.6515e-01        1.000          35.7
  38      2.0706e+03       1.2444e+01       -1.8292e-01        1.000          36.7
  39      1.6483e+03       1.2466e+01       -2.0685e-01        1.000          37.6
  40      1.3122e+03       1.2490e+01       -2.3074e-01        1.000          38.6
  41      1.0446e+03       1.2518e+01       -2.5890e-01        1.000          39.6
  42      8.3153e+02       1.2550e+01       -2.8925e-01        1.000          40.5
  43      6.6195e+02       1.2586e+01       -3.2443e-01        1.000          41.5
  44      5.2695e+02       1.2626e+01       -3.6410e-01        1.000          42.4
  45      4.1949e+02       1.2675e+01       -4.0259e-01        1.000          43.4
  46      3.3394e+02       1.2729e+01       -4.5399e-01        1.000          44.4
  47      2.6584e+02       1.2792e+01       -5.0846e-01        1.000          45.3
  48      2.1162e+02       1.2870e+01       -5.5434e-01        1.000          46.3
  49      1.6846e+02       1.2958e+01       -6.1736e-01        1.000          47.2
  50      1.3411e+02       1.3060e+01       -6.7891e-01        1.000          48.2
  51      1.0676e+02       1.3177e+01       -7.3776e-01        1.000          49.2
  52      8.4986e+01       1.3310e+01       -7.8739e-01        1.000          50.3
  53      6.7654e+01       1.3454e+01       -8.2450e-01        1.000          51.4
  54      5.3524e+01       1.3608e+01       -8.5298e-01        1.000          53.3
  55      4.1896e+01       1.3781e+01       -8.4883e-01        1.000          55.5
  56      3.2409e+01       1.3958e+01       -8.1925e-01        1.000          57.3
  57      2.4746e+01       1.4128e+01       -7.6830e-01        1.000          59.3
  58      1.8624e+01       1.4284e+01       -6.8823e-01        1.000          61.6
  59      1.3792e+01       1.4414e+01       -6.0061e-01        1.000          64.0
  60      1.0031e+01       1.4523e+01       -4.9902e-01        1.000          66.8
  61      7.1499e+00       1.4606e+01       -4.0551e-01        1.000          70.2
  62      4.9825e+00       1.4668e+01       -3.2531e-01        1.000          74.2
  63      3.3858e+00       1.4725e+01       -2.6115e-01        1.000          79.3
  64      2.2374e+00       1.4775e+01       -2.1387e-01        1.000          85.9
  65      1.4343e+00       1.4816e+01       -1.6029e-01        1.000          95.9
  66      8.9031e-01       1.4850e+01       -1.0669e-01        1.000         108.4
  67      5.3506e-01       1.4870e+01       -7.5128e-02        1.000         125.2
  68      3.1211e-01       1.4887e+01       -4.4272e-02        1.000         150.6
  69      1.7783e-01       1.4900e+01       -1.9206e-02        1.000         187.2
  70      1.0000e-01       1.4908e+01       -1.3402e-02        1.000         238.7

