File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  22.683uA
Temperature:  -0.6+-0.0C
Time.......:  16:30:09 - 16:34:29
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       2.0611e+00       -1.7597e-02        1.000           0.0
   2      1.3122e+03       2.0577e+00       -1.7412e-02        1.000           1.7
   3      1.6483e+03       2.0542e+00       -1.6926e-02        1.000           2.7
   4      2.0706e+03       2.0508e+00       -1.5625e-02        1.000           3.6
   5      2.6010e+03       2.0473e+00       -1.4252e-02        1.000           4.6
   6      3.2674e+03       2.0440e+00       -1.2326e-02        1.000           5.6
   7      4.1044e+03       2.0405e+00       -9.2422e-03        1.000           6.6
   8      5.1559e+03       2.0376e+00       -5.8536e-03        1.000           7.5
   9      6.4768e+03       2.0348e+00       -1.6209e-03        1.000           8.5
  10      8.1360e+03       2.0327e+00        6.0393e-03        1.000           9.5
  11      1.0220e+04       2.0307e+00        1.2693e-02        1.000          10.5
  12      1.2839e+04       2.0289e+00        2.0926e-02        1.000          11.4
  13      1.6128e+04       2.0272e+00        3.0379e-02        1.000          12.4
  14      2.0259e+04       2.0256e+00        4.1791e-02        1.000          13.4
  15      2.5450e+04       2.0244e+00        5.6237e-02        1.000          14.3
  16      3.1969e+04       2.0219e+00        6.6501e-02        1.000          15.3
  17      4.0159e+04       2.0208e+00        8.7499e-02        1.000          16.3
  18      5.0448e+04       2.0201e+00        1.1273e-01        1.000          17.2
  19      6.3371e+04       2.0191e+00        1.4436e-01        1.000          18.2
  20      7.9606e+04       2.0183e+00        1.8414e-01        1.000          19.2
  21      1.0000e+05       2.0180e+00        2.3387e-01        1.000          20.1
  22      7.9606e+04       2.0183e+00        1.8418e-01        1.000          21.1
  23      6.3371e+04       2.0190e+00        1.4427e-01        1.000          22.1
  24      5.0448e+04       2.0199e+00        1.1270e-01        1.000          23.1
  25      4.0159e+04       2.0208e+00        8.7394e-02        1.000          24.0
  26      3.1969e+04       2.0218e+00        6.6547e-02        1.000          25.0
  27      2.5450e+04       2.0243e+00        5.6310e-02        1.000          26.0
  28      2.0259e+04       2.0256e+00        4.1793e-02        1.000          26.9
  29      1.6128e+04       2.0270e+00        3.0345e-02        1.000          27.9
  30      1.2839e+04       2.0287e+00        2.0873e-02        1.000          28.9
  31      1.0220e+04       2.0306e+00        1.2782e-02        1.000          29.8
  32      8.1360e+03       2.0326e+00        5.9779e-03        1.000          30.8
  33      6.4768e+03       2.0346e+00       -1.6109e-03        1.000          31.8
  34      5.1559e+03       2.0374e+00       -5.8309e-03        1.000          32.8
  35      4.1044e+03       2.0403e+00       -9.2358e-03        1.000          33.7
  36      3.2674e+03       2.0437e+00       -1.2376e-02        1.000          34.7
  37      2.6010e+03       2.0471e+00       -1.4335e-02        1.000          35.7
  38      2.0706e+03       2.0505e+00       -1.5681e-02        1.000          36.6
  39      1.6483e+03       2.0539e+00       -1.6972e-02        1.000          37.6
  40      1.3122e+03       2.0574e+00       -1.7523e-02        1.000          38.6
  41      1.0446e+03       2.0607e+00       -1.7680e-02        1.000          39.6
  42      8.3153e+02       2.0638e+00       -1.7240e-02        1.000          40.5
  43      6.6195e+02       2.0668e+00       -1.6822e-02        1.000          41.5
  44      5.2695e+02       2.0694e+00       -1.6277e-02        1.000          42.5
  45      4.1949e+02       2.0719e+00       -1.4624e-02        1.000          43.4
  46      3.3394e+02       2.0741e+00       -1.4214e-02        1.000          44.4
  47      2.6584e+02       2.0760e+00       -1.3719e-02        1.000          45.4
  48      2.1162e+02       2.0782e+00       -1.1461e-02        1.000          46.3
  49      1.6846e+02       2.0798e+00       -1.1594e-02        1.000          47.3
  50      1.3411e+02       2.0810e+00       -1.1812e-02        1.000          48.2
  51      1.0676e+02       2.0823e+00       -1.2494e-02        1.000          49.2
  52      8.4986e+01       2.0835e+00       -1.3065e-02        1.000          50.3
  53      6.7654e+01       2.0842e+00       -1.4301e-02        1.000          51.4
  54      5.3524e+01       2.0851e+00       -1.6019e-02        1.000          53.3
  55      4.1896e+01       2.0865e+00       -1.7189e-02        1.000          55.5
  56      3.2409e+01       2.0880e+00       -1.9318e-02        1.000          57.4
  57      2.4746e+01       2.0897e+00       -2.2928e-02        1.000          59.4
  58      1.8624e+01       2.0921e+00       -2.6682e-02        1.000          61.6
  59      1.3792e+01       2.0946e+00       -3.3143e-02        1.000          64.1
  60      1.0031e+01       2.0999e+00       -4.0643e-02        1.000          66.9
  61      7.1499e+00       2.1083e+00       -5.0678e-02        1.000          70.2
  62      4.9825e+00       2.1220e+00       -6.3880e-02        1.000          74.3
  63      3.3858e+00       2.1448e+00       -7.6621e-02        1.000          79.4
  64      2.2374e+00       2.1765e+00       -8.2897e-02        1.000          85.9
  65      1.4343e+00       2.2108e+00       -7.5035e-02        1.000          96.0
  66      8.9031e-01       2.2380e+00       -5.7175e-02        1.000         108.4
  67      5.3506e-01       2.2521e+00       -3.9968e-02        1.000         125.2
  68      3.1211e-01       2.2593e+00       -2.5007e-02        1.000         150.6
  69      1.7783e-01       2.2628e+00       -1.4223e-02        1.000         187.2
  70      1.0000e-01       2.2638e+00       -9.1049e-03        1.000         238.7

