File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  11.565uA
Temperature:  -0.6+-0.0C
Time.......:  15:22:29 - 15:26:54
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       4.4420e+00       -9.3286e-02        1.000           0.0
   2      1.3122e+03       4.4278e+00       -8.4973e-02        1.000           2.0
   3      1.6483e+03       4.4167e+00       -7.6251e-02        1.000           3.0
   4      2.0706e+03       4.4064e+00       -6.7251e-02        1.000           3.9
   5      2.6010e+03       4.3975e+00       -5.9425e-02        1.000           4.9
   6      3.2674e+03       4.3895e+00       -5.1934e-02        1.000           5.9
   7      4.1044e+03       4.3821e+00       -4.3936e-02        1.000           6.9
   8      5.1559e+03       4.3759e+00       -3.6195e-02        1.000           7.8
   9      6.4768e+03       4.3705e+00       -2.8700e-02        1.000           8.8
  10      8.1360e+03       4.3667e+00       -1.5549e-02        1.000           9.8
  11      1.0220e+04       4.3630e+00       -5.9109e-03        1.000          10.8
  12      1.2839e+04       4.3592e+00        4.6694e-03        1.000          11.7
  13      1.6128e+04       4.3558e+00        1.6173e-02        1.000          12.7
  14      2.0259e+04       4.3524e+00        2.9003e-02        1.000          13.7
  15      2.5450e+04       4.3496e+00        4.5371e-02        1.000          14.6
  16      3.1969e+04       4.3438e+00        4.9514e-02        1.000          15.6
  17      4.0159e+04       4.3415e+00        7.0894e-02        1.000          16.6
  18      5.0448e+04       4.3398e+00        9.6367e-02        1.000          17.5
  19      6.3371e+04       4.3373e+00        1.2733e-01        1.000          18.5
  20      7.9606e+04       4.3357e+00        1.6678e-01        1.000          19.5
  21      1.0000e+05       4.3352e+00        2.1582e-01        1.000          20.4
  22      7.9606e+04       4.3360e+00        1.6670e-01        1.000          21.4
  23      6.3371e+04       4.3373e+00        1.2748e-01        1.000          22.4
  24      5.0448e+04       4.3393e+00        9.6263e-02        1.000          23.3
  25      4.0159e+04       4.3417e+00        7.1156e-02        1.000          24.3
  26      3.1969e+04       4.3436e+00        4.9485e-02        1.000          25.3
  27      2.5450e+04       4.3499e+00        4.5588e-02        1.000          26.2
  28      2.0259e+04       4.3527e+00        2.9097e-02        1.000          27.2
  29      1.6128e+04       4.3555e+00        1.6025e-02        1.000          28.2
  30      1.2839e+04       4.3592e+00        4.4898e-03        1.000          29.2
  31      1.0220e+04       4.3626e+00       -6.0129e-03        1.000          30.1
  32      8.1360e+03       4.3667e+00       -1.5570e-02        1.000          31.1
  33      6.4768e+03       4.3707e+00       -2.8976e-02        1.000          32.1
  34      5.1559e+03       4.3759e+00       -3.6321e-02        1.000          33.0
  35      4.1044e+03       4.3820e+00       -4.3774e-02        1.000          34.0
  36      3.2674e+03       4.3897e+00       -5.2240e-02        1.000          35.0
  37      2.6010e+03       4.3974e+00       -5.9576e-02        1.000          35.9
  38      2.0706e+03       4.4062e+00       -6.7305e-02        1.000          36.9
  39      1.6483e+03       4.4161e+00       -7.6315e-02        1.000          37.9
  40      1.3122e+03       4.4287e+00       -8.4745e-02        1.000          38.8
  41      1.0446e+03       4.4420e+00       -9.3437e-02        1.000          39.8
  42      8.3153e+02       4.4580e+00       -1.0107e-01        1.000          40.8
  43      6.6195e+02       4.4755e+00       -1.0826e-01        1.000          41.7
  44      5.2695e+02       4.4950e+00       -1.1404e-01        1.000          42.7
  45      4.1949e+02       4.5162e+00       -1.1594e-01        1.000          43.7
  46      3.3394e+02       4.5380e+00       -1.1827e-01        1.000          44.6
  47      2.6584e+02       4.5601e+00       -1.1722e-01        1.000          45.6
  48      2.1162e+02       4.5820e+00       -1.1062e-01        1.000          46.6
  49      1.6846e+02       4.6014e+00       -1.0625e-01        1.000          47.5
  50      1.3411e+02       4.6189e+00       -1.0017e-01        1.000          48.5
  51      1.0676e+02       4.6345e+00       -9.4237e-02        1.000          49.5
  52      8.4986e+01       4.6483e+00       -8.7414e-02        1.000          50.6
  53      6.7654e+01       4.6584e+00       -8.0896e-02        1.000          51.7
  54      5.3524e+01       4.6680e+00       -7.4573e-02        1.000          53.5
  55      4.1896e+01       4.6769e+00       -6.7080e-02        1.000          55.7
  56      3.2409e+01       4.6847e+00       -6.0766e-02        1.000          57.6
  57      2.4746e+01       4.6909e+00       -5.7726e-02        1.000          59.6
  58      1.8624e+01       4.6971e+00       -5.3937e-02        1.000          61.8
  59      1.3792e+01       4.7016e+00       -5.5262e-02        1.000          64.3
  60      1.0031e+01       4.7098e+00       -5.6801e-02        1.000          67.1
  61      7.1499e+00       4.7298e+00       -6.1697e-02        1.000          70.9
  62      4.9825e+00       4.7441e+00       -7.0265e-02        1.000          75.5
  63      3.3858e+00       4.7681e+00       -7.8954e-02        1.000          80.6
  64      2.2374e+00       4.7876e+00       -8.1972e-02        1.000          87.9
  65      1.4343e+00       4.8304e+00       -7.3668e-02        1.000         100.5
  66      8.9031e-01       4.8547e+00       -5.3843e-02        1.000         113.0
  67      5.3506e-01       4.8683e+00       -3.7789e-02        1.000         129.8
  68      3.1211e-01       4.8768e+00       -2.2795e-02        1.000         155.2
  69      1.7783e-01       4.8810e+00       -1.0887e-02        1.000         191.8
  70      1.0000e-01       4.8840e+00       -6.9310e-03        1.000         243.3

