File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  20.501uA
Temperature:  -0.7+-0.1C
Time.......:  15:58:41 - 16:03:02
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       2.9500e+00       -4.3899e-02        1.000           0.0
   2      1.3122e+03       2.9418e+00       -4.2216e-02        1.000           2.0
   3      1.6483e+03       2.9344e+00       -4.0050e-02        1.000           3.0
   4      2.0706e+03       2.9273e+00       -3.6506e-02        1.000           4.0
   5      2.6010e+03       2.9210e+00       -3.2877e-02        1.000           4.9
   6      3.2674e+03       2.9151e+00       -2.8989e-02        1.000           5.9
   7      4.1044e+03       2.9097e+00       -2.3721e-02        1.000           6.9
   8      5.1559e+03       2.9052e+00       -1.8274e-02        1.000           7.8
   9      6.4768e+03       2.9013e+00       -1.2726e-02        1.000           8.8
  10      8.1360e+03       2.8982e+00       -2.6497e-03        1.000           9.8
  11      1.0220e+04       2.8956e+00        5.2948e-03        1.000          10.8
  12      1.2839e+04       2.8930e+00        1.4515e-02        1.000          11.7
  13      1.6128e+04       2.8905e+00        2.4992e-02        1.000          12.7
  14      2.0259e+04       2.8885e+00        3.6976e-02        1.000          13.7
  15      2.5450e+04       2.8866e+00        5.2499e-02        1.000          14.6
  16      3.1969e+04       2.8829e+00        6.0617e-02        1.000          15.6
  17      4.0159e+04       2.8816e+00        8.1657e-02        1.000          16.6
  18      5.0448e+04       2.8804e+00        1.0731e-01        1.000          17.5
  19      6.3371e+04       2.8789e+00        1.3874e-01        1.000          18.5
  20      7.9606e+04       2.8780e+00        1.7853e-01        1.000          19.5
  21      1.0000e+05       2.8775e+00        2.2817e-01        1.000          20.4
  22      7.9606e+04       2.8780e+00        1.7850e-01        1.000          21.4
  23      6.3371e+04       2.8790e+00        1.3876e-01        1.000          22.4
  24      5.0448e+04       2.8803e+00        1.0723e-01        1.000          23.3
  25      4.0159e+04       2.8815e+00        8.1651e-02        1.000          24.3
  26      3.1969e+04       2.8830e+00        6.0513e-02        1.000          25.3
  27      2.5450e+04       2.8867e+00        5.2442e-02        1.000          26.3
  28      2.0259e+04       2.8884e+00        3.7080e-02        1.000          27.2
  29      1.6128e+04       2.8906e+00        2.5037e-02        1.000          28.2
  30      1.2839e+04       2.8931e+00        1.4479e-02        1.000          29.2
  31      1.0220e+04       2.8955e+00        5.4910e-03        1.000          30.1
  32      8.1360e+03       2.8983e+00       -2.6649e-03        1.000          31.1
  33      6.4768e+03       2.9013e+00       -1.2653e-02        1.000          32.1
  34      5.1559e+03       2.9052e+00       -1.8348e-02        1.000          33.1
  35      4.1044e+03       2.9097e+00       -2.3670e-02        1.000          34.0
  36      3.2674e+03       2.9151e+00       -2.8937e-02        1.000          35.0
  37      2.6010e+03       2.9208e+00       -3.2947e-02        1.000          36.0
  38      2.0706e+03       2.9271e+00       -3.6555e-02        1.000          36.9
  39      1.6483e+03       2.9343e+00       -4.0074e-02        1.000          37.9
  40      1.3122e+03       2.9419e+00       -4.2308e-02        1.000          38.9
  41      1.0446e+03       2.9498e+00       -4.4015e-02        1.000          39.8
  42      8.3153e+02       2.9582e+00       -4.4403e-02        1.000          40.8
  43      6.6195e+02       2.9662e+00       -4.3775e-02        1.000          41.8
  44      5.2695e+02       2.9737e+00       -4.3107e-02        1.000          42.7
  45      4.1949e+02       2.9813e+00       -3.9965e-02        1.000          43.7
  46      3.3394e+02       2.9876e+00       -3.8477e-02        1.000          44.7
  47      2.6584e+02       2.9936e+00       -3.6426e-02        1.000          45.6
  48      2.1162e+02       2.9995e+00       -3.1465e-02        1.000          46.6
  49      1.6846e+02       3.0038e+00       -3.0197e-02        1.000          47.5
  50      1.3411e+02       3.0079e+00       -2.8760e-02        1.000          48.5
  51      1.0676e+02       3.0116e+00       -2.7832e-02        1.000          49.5
  52      8.4986e+01       3.0148e+00       -2.6717e-02        1.000          50.6
  53      6.7654e+01       3.0171e+00       -2.6445e-02        1.000          51.7
  54      5.3524e+01       3.0189e+00       -2.6903e-02        1.000          53.6
  55      4.1896e+01       3.0220e+00       -2.6692e-02        1.000          55.8
  56      3.2409e+01       3.0246e+00       -2.6879e-02        1.000          57.6
  57      2.4746e+01       3.0270e+00       -2.9765e-02        1.000          59.7
  58      1.8624e+01       3.0299e+00       -3.1912e-02        1.000          61.9
  59      1.3792e+01       3.0330e+00       -3.7611e-02        1.000          64.4
  60      1.0031e+01       3.0390e+00       -4.3703e-02        1.000          67.1
  61      7.1499e+00       3.0480e+00       -5.2338e-02        1.000          70.5
  62      4.9825e+00       3.0617e+00       -6.4272e-02        1.000          74.6
  63      3.3858e+00       3.0845e+00       -7.5774e-02        1.000          79.7
  64      2.2374e+00       3.1150e+00       -8.0862e-02        1.000          86.2
  65      1.4343e+00       3.1480e+00       -7.1929e-02        1.000          96.3
  66      8.9031e-01       3.1742e+00       -5.4094e-02        1.000         108.7
  67      5.3506e-01       3.1868e+00       -3.8281e-02        1.000         125.5
  68      3.1211e-01       3.1941e+00       -2.4196e-02        1.000         150.9
  69      1.7783e-01       3.1974e+00       -1.3474e-02        1.000         187.5
  70      1.0000e-01       3.1985e+00       -8.8442e-03        1.000         239.0

