File.......:   - AUG,11.2015

System.....:  
Potential..:  0.000V
Current....:  7.8965uA
Temperature:  -0.6+-0.0C
Time.......:  14:41:11 - 14:45:32
Comment....:  
              
              
              
              
               
Impedance samples

Lines:   70
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0446e+03       7.1656e+00       -1.5866e-01        1.000           0.0
   2      1.3122e+03       7.1471e+00       -1.4105e-01        1.000           1.7
   3      1.6483e+03       7.1307e+00       -1.2549e-01        1.000           2.7
   4      2.0706e+03       7.1167e+00       -1.0985e-01        1.000           3.6
   5      2.6010e+03       7.1044e+00       -9.7668e-02        1.000           4.6
   6      3.2674e+03       7.0932e+00       -8.6206e-02        1.000           5.6
   7      4.1044e+03       7.0824e+00       -7.4301e-02        1.000           6.6
   8      5.1559e+03       7.0733e+00       -6.3677e-02        1.000           7.5
   9      6.4768e+03       7.0649e+00       -5.3754e-02        1.000           8.5
  10      8.1360e+03       7.0589e+00       -3.4918e-02        1.000           9.5
  11      1.0220e+04       7.0523e+00       -2.2477e-02        1.000          10.5
  12      1.2839e+04       7.0459e+00       -8.5666e-03        1.000          11.4
  13      1.6128e+04       7.0402e+00        5.3047e-03        1.000          12.4
  14      2.0259e+04       7.0348e+00        2.1286e-02        1.000          13.4
  15      2.5450e+04       7.0300e+00        4.1381e-02        1.000          14.3
  16      3.1969e+04       7.0201e+00        3.8123e-02        1.000          15.3
  17      4.0159e+04       7.0149e+00        6.2644e-02        1.000          16.3
  18      5.0448e+04       7.0097e+00        9.0700e-02        1.000          17.2
  19      6.3371e+04       7.0052e+00        1.2703e-01        1.000          18.2
  20      7.9606e+04       6.9986e+00        1.7001e-01        1.000          19.2
  21      1.0000e+05       6.9921e+00        2.2459e-01        1.000          20.1
  22      7.9606e+04       6.9986e+00        1.7026e-01        1.000          21.1
  23      6.3371e+04       7.0053e+00        1.2715e-01        1.000          22.1
  24      5.0448e+04       7.0096e+00        9.0637e-02        1.000          23.0
  25      4.0159e+04       7.0151e+00        6.2608e-02        1.000          24.0
  26      3.1969e+04       7.0204e+00        3.7888e-02        1.000          25.0
  27      2.5450e+04       7.0301e+00        4.1468e-02        1.000          25.9
  28      2.0259e+04       7.0351e+00        2.1383e-02        1.000          26.9
  29      1.6128e+04       7.0405e+00        5.2952e-03        1.000          27.9
  30      1.2839e+04       7.0461e+00       -8.6046e-03        1.000          28.9
  31      1.0220e+04       7.0527e+00       -2.2551e-02        1.000          29.8
  32      8.1360e+03       7.0594e+00       -3.4800e-02        1.000          30.8
  33      6.4768e+03       7.0654e+00       -5.3753e-02        1.000          31.8
  34      5.1559e+03       7.0737e+00       -6.3759e-02        1.000          32.7
  35      4.1044e+03       7.0828e+00       -7.4416e-02        1.000          33.7
  36      3.2674e+03       7.0936e+00       -8.6186e-02        1.000          34.7
  37      2.6010e+03       7.1048e+00       -9.7745e-02        1.000          35.6
  38      2.0706e+03       7.1174e+00       -1.1007e-01        1.000          36.6
  39      1.6483e+03       7.1312e+00       -1.2534e-01        1.000          37.6
  40      1.3122e+03       7.1472e+00       -1.4090e-01        1.000          38.5
  41      1.0446e+03       7.1660e+00       -1.5862e-01        1.000          39.5
  42      8.3153e+02       7.1877e+00       -1.7716e-01        1.000          40.5
  43      6.6195e+02       7.2124e+00       -1.9778e-01        1.000          41.4
  44      5.2695e+02       7.2412e+00       -2.2005e-01        1.000          42.4
  45      4.1949e+02       7.2749e+00       -2.3980e-01        1.000          43.4
  46      3.3394e+02       7.3141e+00       -2.6417e-01        1.000          44.3
  47      2.6584e+02       7.3589e+00       -2.8698e-01        1.000          45.3
  48      2.1162e+02       7.4118e+00       -3.0028e-01        1.000          46.3
  49      1.6846e+02       7.4681e+00       -3.1717e-01        1.000          47.2
  50      1.3411e+02       7.5285e+00       -3.2758e-01        1.000          48.2
  51      1.0676e+02       7.5909e+00       -3.3085e-01        1.000          49.2
  52      8.4986e+01       7.6530e+00       -3.2505e-01        1.000          50.2
  53      6.7654e+01       7.7110e+00       -3.1235e-01        1.000          51.4
  54      5.3524e+01       7.7632e+00       -2.9816e-01        1.000          53.2
  55      4.1896e+01       7.8136e+00       -2.7049e-01        1.000          55.4
  56      3.2409e+01       7.8582e+00       -2.4000e-01        1.000          57.3
  57      2.4746e+01       7.8941e+00       -2.1106e-01        1.000          59.3
  58      1.8624e+01       7.9239e+00       -1.8023e-01        1.000          61.6
  59      1.3792e+01       7.9459e+00       -1.5715e-01        1.000          64.0
  60      1.0031e+01       7.9667e+00       -1.3389e-01        1.000          66.8
  61      7.1499e+00       7.9847e+00       -1.1874e-01        1.000          70.2
  62      4.9825e+00       8.0037e+00       -1.1036e-01        1.000          74.2
  63      3.3858e+00       8.0309e+00       -1.0643e-01        1.000          79.3
  64      2.2374e+00       8.0637e+00       -1.0286e-01        1.000          85.9
  65      1.4343e+00       8.0954e+00       -8.6171e-02        1.000          95.9
  66      8.9031e-01       8.1209e+00       -6.0643e-02        1.000         108.4
  67      5.3506e-01       8.1358e+00       -4.3221e-02        1.000         125.2
  68      3.1211e-01       8.1471e+00       -2.5622e-02        1.000         150.6
  69      1.7783e-01       8.1545e+00       -1.1073e-02        1.000         187.2
  70      1.0000e-01       8.1585e+00       -7.7394e-03        1.000         238.7

